date,total_profit_DA,total_profit_Hybrid,market_used,cumulative_baseline,cumulative_strategy,total_profit
2025-01-02,341.15,341.15,Day Ahead,341.15,341.15,341.15
2025-01-03,793.1999999999998,793.1999999999998,Day Ahead,1134.35,1134.35,793.1999999999998
2025-01-04,263.85,263.85,Day Ahead,1398.1999999999998,1398.1999999999998,263.85
2025-01-05,292.9,292.9,Day Ahead,1691.1,1691.1,292.9
2025-01-06,671.1,671.1,Day Ahead,2362.2,2362.2,671.1
2025-01-07,806.8,806.8,Day Ahead,3169.0,3169.0,806.8
2025-01-08,1297.2,1297.2,Day Ahead,4466.2,4466.2,1297.2
2025-01-09,1520.75,1520.75,Day Ahead,5986.95,5986.95,1520.75
2025-01-10,747.0,747.0,Day Ahead,6733.95,6733.95,747.0
2025-01-11,524.85,524.85,Day Ahead,7258.8,7258.8,524.85
2025-01-12,229.8999999999999,229.8999999999999,Day Ahead,7488.7,7488.7,229.8999999999999
2025-01-13,542.9499999999999,542.9499999999999,Day Ahead,8031.65,8031.65,542.9499999999999
2025-01-14,791.05,791.05,Day Ahead,8822.699999999999,8822.699999999999,791.05
2025-01-15,580.15,580.15,Day Ahead,9402.849999999999,9402.849999999999,580.15
2025-01-16,485.5000000000001,485.5000000000001,Day Ahead,9888.349999999999,9888.349999999999,485.5000000000001
2025-01-17,422.55,422.55,Day Ahead,10310.899999999998,10310.899999999998,422.55
2025-01-18,367.3499999999999,367.3499999999999,Day Ahead,10678.249999999998,10678.249999999998,367.3499999999999
2025-01-19,207.54999999999995,207.54999999999995,Day Ahead,10885.799999999997,10885.799999999997,207.54999999999995
2025-01-20,579.5,579.5,Day Ahead,11465.299999999997,11465.299999999997,579.5
2025-01-21,1180.8,1180.8,Day Ahead,12646.099999999997,12646.099999999997,1180.8
2025-01-22,-33.85000000000005,-33.85000000000005,Day Ahead,12612.249999999996,12612.249999999996,-33.85000000000005
2025-01-23,216.45000000000005,216.45000000000005,Day Ahead,12828.699999999997,12828.699999999997,216.45000000000005
2025-01-24,843.05,843.05,Day Ahead,13671.749999999996,13671.749999999996,843.05
2025-01-25,595.95,595.95,Day Ahead,14267.699999999997,14267.699999999997,595.95
2025-01-26,296.35,296.35,Day Ahead,14564.049999999997,14564.049999999997,296.35
2025-01-27,492.85,492.85,Day Ahead,15056.899999999998,15056.899999999998,492.85
2025-01-28,223.54999999999995,223.54999999999995,Day Ahead,15280.449999999997,15280.449999999997,223.54999999999995
2025-01-29,657.8499999999999,657.8499999999999,Day Ahead,15938.299999999997,15938.299999999997,657.8499999999999
2025-01-30,975.05,975.05,Day Ahead,16913.35,16913.35,975.05
2025-01-31,755.6499999999999,755.6499999999999,Day Ahead,17669.0,17669.0,755.6499999999999
2025-02-01,280.55000000000007,280.55000000000007,Day Ahead,17949.55,17949.55,280.55000000000007
2025-02-02,93.79999999999995,93.79999999999995,Day Ahead,18043.35,18043.35,93.79999999999995
2025-02-03,487.2,487.2,Day Ahead,18530.55,18530.55,487.2
2025-02-04,782.3,782.3,Day Ahead,19312.85,19312.85,782.3
2025-02-05,1247.95,1247.95,Day Ahead,20560.8,20560.8,1247.95
2025-02-06,695.4000000000001,695.4000000000001,Day Ahead,21256.2,21256.2,695.4000000000001
